id,어코드,노트명,이미지URL
240,Gourmand,설탕 조림 레몬,https://fimgs.net/mdimg/sastojci/t.1485.jpg?1733161259
241,Gourmand,설탕 조림 오렌지,https://fimgs.net/mdimg/sastojci/t.646.jpg?1733161265
242,Gourmand,아이스크림,https://fimgs.net/mdimg/sastojci/t.599.jpg?1733161265
243,Gourmand,캐러멜,https://fimgs.net/mdimg/sastojci/t.183.jpg?1733161259
244,Gourmand,캔디 애플,https://fimgs.net/mdimg/sastojci/t.1813.jpg?1759336830
245,Gourmand,쿨피,https://fimgs.net/mdimg/sastojci/t.661.jpg?1733161265
246,Gourmand,토피,https://fimgs.net/mdimg/sastojci/t.434.jpg?1733161265
247,Gourmand,팝콘,https://fimgs.net/mdimg/sastojci/t.250.jpg?1733161261
248,Gourmand,프랄린,https://fimgs.net/mdimg/sastojci/t.198.jpg?1733161259
249,Gourmand,화이트 초콜릿,https://fimgs.net/mdimg/sastojci/t.168.jpg?1733161259
250,Gourmand,흑설탕,https://fimgs.net/mdimg/sastojci/t.521.jpg?1733161265
251,Gourmand,솜사탕,https://fimgs.net/mdimg/sastojci/t.237.jpg?1733161261
252,Gourmand,우유,https://fimgs.net/mdimg/sastojci/t.199.jpg?1733161259
253,Gourmand,마시멜로,https://fimgs.net/mdimg/sastojci/t.236.jpg?1733161261
254,Green,갈대,https://fimgs.net/mdimg/sastojci/t.383.jpg?1733161265
255,Green,갈바넘,https://fimgs.net/mdimg/sastojci/t.45.jpg?1733161265
256,Green,고사리,https://fimgs.net/mdimg/sastojci/t.258.jpg?1733161261
257,Green,그린 노트,https://fimgs.net/mdimg/sastojci/t.318.jpg?1733161263
258,Green,딸기 잎,https://fimgs.net/mdimg/sastojci/t.262.jpg?1733161261
259,Green,라즈베리 잎,https://fimgs.net/mdimg/sastojci/t.1650.jpg?1738183498
260,Green,목련 잎,https://fimgs.net/mdimg/sastojci/t.1170.jpg?1733161258
261,Green,무화과 잎,https://fimgs.net/mdimg/sastojci/t.150.jpg?1733161259
262,Green,버베인,https://fimgs.net/mdimg/sastojci/t.1680.jpg?1742096938
263,Green,부추 / 아가토스마,https://fimgs.net/mdimg/sastojci/t.583.jpg?1733161265
264,Green,블랙베리 잎,https://fimgs.net/mdimg/sastojci/t.618.jpg?1733161265
265,Green,선인장,https://fimgs.net/mdimg/sastojci/t.256.jpg?1733161261
266,Green,시소,https://fimgs.net/mdimg/sastojci/t.492.jpg?1733161265
267,Green,쐐기풀,https://fimgs.net/mdimg/sastojci/t.248.jpg?1733161261
268,Green,아이비,https://fimgs.net/mdimg/sastojci/t.192.jpg?1733161259
269,Green,알로에 베라,https://fimgs.net/mdimg/sastojci/t.484.jpg?1733161265
270,Green,줄기 그린,https://fimgs.net/mdimg/sastojci/t.1135.jpg?1733161258
271,Green,토마토 잎,https://fimgs.net/mdimg/sastojci/t.253.jpg?1733161261
272,Green,파피루스,https://fimgs.net/mdimg/sastojci/t.206.jpg?1733161259
273,Green,포도 덩굴,https://fimgs.net/mdimg/sastojci/t.449.jpg?1733161265
274,Green,폴리고넘,https://fimgs.net/mdimg/sastojci/t.1000.jpg?1733161257
275,Green,풀,https://fimgs.net/mdimg/sastojci/t.277.jpg?1733161262
276,Musky,머스크,https://fimgs.net/mdimg/sastojci/t.4.jpg?1733161265
277,Musky,사향고양이,https://fimgs.net/mdimg/sastojci/t.104.jpg?1733161258
278,Musky,세탈록스,https://fimgs.net/mdimg/sastojci/t.564.jpg?1733161265
279,Musky,솔라 노트,https://fimgs.net/mdimg/sastojci/t.672.jpg?1733161266
280,Musky,실콜리드,https://fimgs.net/mdimg/sastojci/t.928.jpg?1733161266
281,Musky,암브레톨리드,https://fimgs.net/mdimg/sastojci/t.919.jpg?1733161266
282,Musky,암브레트 (머스크 맬로우),https://fimgs.net/mdimg/sastojci/t.107.jpg?1733161258
283,Musky,암브로픽스,https://fimgs.net/mdimg/sastojci/t.1457.jpg?1733161259
284,Musky,암브록산,https://fimgs.net/mdimg/sastojci/t.563.jpg?1733161265
285,Musky,에버닐,https://fimgs.net/mdimg/sastojci/t.1167.jpg?1733161258
286,Musky,오르카녹스,https://fimgs.net/mdimg/sastojci/t.1418.jpg?1733161258
287,Musky,용연향,https://fimgs.net/mdimg/sastojci/t.524.jpg?1733161265
288,Musky,이소 E 수퍼,https://fimgs.net/mdimg/sastojci/t.422.jpg?1733161265
289,Musky,인돌,https://fimgs.net/mdimg/sastojci/t.528.jpg?1733161265
290,Musky,캐시머란,https://fimgs.net/mdimg/sastojci/t.348.jpg?1733161264
291,Musky,케팔리스,https://fimgs.net/mdimg/sastojci/t.399.jpg?1733161265
292,Musky,해리향,https://fimgs.net/mdimg/sastojci/t.102.jpg?1733161257
293,Musky,헤디온,https://fimgs.net/mdimg/sastojci/t.640.jpg?1733161265
294,Musky,헬베톨리드,https://fimgs.net/mdimg/sastojci/t.924.jpg?1733161266
295,Spicy,갈랑가,https://fimgs.net/mdimg/sastojci/t.88.jpg?1733161266
296,Spicy,고수,https://fimgs.net/mdimg/sastojci/t.64.jpg?1733161265
297,Spicy,넛멕,https://fimgs.net/mdimg/sastojci/t.59.jpg?1733161265
298,Spicy,마살라 차이,https://fimgs.net/mdimg/sastojci/t.214.jpg?1733161260
299,Spicy,메이스,https://fimgs.net/mdimg/sastojci/t.538.jpg?1733161265
300,Spicy,사프란,https://fimgs.net/mdimg/sastojci/t.55.jpg?1733161265
301,Spicy,생강,https://fimgs.net/mdimg/sastojci/t.62.jpg?1733161265
302,Spicy,스파이시 노트,https://fimgs.net/mdimg/sastojci/t.321.jpg?1733161263
303,Spicy,시나몬,https://fimgs.net/mdimg/sastojci/t.65.jpg?1733161265
304,Spicy,쓰촨 페퍼,https://fimgs.net/mdimg/sastojci/t.213.jpg?1733161260
305,Spicy,아니스,https://fimgs.net/mdimg/sastojci/t.393.jpg?1733161265
306,Spicy,올스파이스,https://fimgs.net/mdimg/sastojci/t.122.jpg?1733161258
307,Spicy,와사비,https://fimgs.net/mdimg/sastojci/t.662.jpg?1733161265
308,Spicy,월계수 잎,https://fimgs.net/mdimg/sastojci/t.128.jpg?1733161258
309,Spicy,웨스트 인디언 베이,https://fimgs.net/mdimg/sastojci/t.129.jpg?1733161258
310,Spicy,정향,https://fimgs.net/mdimg/sastojci/t.61.jpg?1733161265
311,Spicy,카다멈,https://fimgs.net/mdimg/sastojci/t.63.jpg?1733161265
